id,name,country,lat,long,usedstart,usedend
1363,Belgorod-Dnestrovskiy,UKR,46.1809,30.3703,8617,17531
1368,Salaverry,PER,-8.2333,-79,8618,1304
1369,San Juan(PRI),PRI,18.4661,-66.1164,8635,1254
1375,Uddevalla,SWE,58.35,11.9167,8682,645
1384,Holmavik,ISL,65.7,-21.6833,8689,41524
1385,Minamata,JPN,32.2167,130.3333,8690,22901
1387,Kisarazu,JPN,35.3631,139.8608,8691,438
1389,Mo i Rana,NOR,66.3167,14.1333,8779,3291
1391,Point Central,MRT,20.8167,-17.0333,8788,1011
1392,Santa Marta,COL,11.2517,-74.2142,8805,224
1395,Piombino,ITA,42.9333,10.55,8900,2333
1399,Porto Alegre,BRA,-30.0333,-51.2167,8919,2675
1403,Senipah Terminal,IDN,-1.1522,117.2303,8931,7204
1407,Leyte Is.,PHL,,,8958,7205
1411,Bunbury,AUS,-33.3358,115.6503,8959,439
1413,Iraklion,GRC,35.3389,25.1475,9016,3916
1417,Ashkelon,ISR,31.6339,34.5228,9019,4331
1421,Venezuela,VEN,,,9029,1841
1424,Wadi Feiran Terminal,EGY,28.75,33.2,9054,10383
1425,Kakogawa,JPN,34.7,134.8333,9055,592
1428,Seven Islands,CAN,50.2072,-66.38,9124,377
1433,Cape Cuvier,AUS,-24.2261,113.3939,9177,7209
1434,La Salina,VEN,10.3667,-71.4667,9184,3662
1437,Saginaw,USA,43.45,-83.9167,9186,4996
1440,Kalamata,GRC,37,22.1167,9197,34071
1441,Caldera(CRI),CRI,9.9017,-84.715,9198,1305
1444,Kharg Is.,IRN,29.2333,50.3167,9228,10783
1445,Hondagua,PHL,13.95,122.2333,9232,27846
1447,Qui Nhon,VNM,13.7667,109.2333,9233,440
1450,Mediterranean,,,,9242,25224
1452,Pointe a Pitre,GLP,16.2314,-61.5494,9244,857
1460,San Carlos de la Rapita,ESP,40.6011,0.5725,9284,4336
1462,Portsmouth,GBR,50.8,-1.1,9290,12368
1466,Pointe a Pierre,TTO,10.3209,-61.4656,9293,3664
1469,Portsmouth(NH USA),USA,43.0739,-70.7508,9316,255
1470,Paradip,IND,20.2667,86.6833,9339,119
1472,Campbell River,CAN,50.0333,-125.2333,9405,22195
1482,La Nouvelle,FRA,43.0225,3.055,9406,2744
1483,Mizushima,JPN,34.4864,133.7325,9408,795
1486,Donaldsonville,USA,30.0833,-91,9537,46963
1492,Famagusta,CYP,35.1167,33.9333,9538,10160
1500,Port Latta,AUS,-40.8536,145.3872,9544,2695
1501,Port de Bouc,FRA,43.4069,4.9925,9555,5801
1502,Chalkis,GRC,38.45,23.6,9564,4338
1503,Charleston,USA,32.7908,-79.9306,9569,128
1504,Kaohsiung,TWN,22.5927,120.3053,9648,49
1505,San Fernando(TTO),TTO,10.2852,-61.4681,9878,41084
1509,Savannah,USA,32.0844,-81.0866,9879,292
1510,Isla de Providencia,COL,13.3833,-81.3667,9964,1672
1523,Jafrabad,IND,20.8667,71.3667,9966,23807
1524,Bintulu,MYS,3.1667,113.0333,9967,442
1532,Thessaloniki,GRC,40.638,22.9206,10005,3917
1534,New Plymouth,NZL,-39.0667,174.0833,10033,238
1535,Puerto Deseado,ARG,-47.7503,-65.8941,10047,1257
1536,Santarem,BRA,-2.4167,-54.7,10053,293
1542,Luzon Is.,PHL,,,no,23979
1546,Palma(Canary Is),CNI,,,10065,1748
1549,Duisburg,DEU,51.4333,6.75,10072,3293
1557,Hirohata,JPN,34.7667,134.6167,10080,3119
1560,Sandnessjoen,NOR,66.0167,12.6333,10118,16355
1562,King's Lynn,GBR,52.7572,0.3952,10119,15231
1563,Thorlakshofn,ISL,63.85,-21.3667,10120,256
1565,Come by Chance,CAN,47.8,-54.0167,10122,33445
1569,Angra dos Reis,BRA,-23.0061,-44.3131,10123,294
